ISO_3,Country,Region,title,authors,source,doi,author_keywords,publication_year,horizon_year,model,scopus_number,WOS_number,Energy efficiency,Climate change,Power,Vehicle,Cement,Forest,Steel/Iron,Buildings,Water,Air Pollution,Electricity,CCS,Transport,Policy-Dvlpt-Eco,Agriculture,Tax,Heat Pump,Consumption,Scenario,Wind/Solar,Costs,Coal,Nuclear,Fuel,Renewable Energies,Flood Risk,Technology,Bioenergy,Urban,Hydrogen,Permit market,Drought,Crop yield,Peak,Oil,Land Use,Target/INDC,Waste,System
CHN,China,Asia,A sustainable biogas model in China: The case study of Beijing Deqingyuan biogas project,"Chen L., Cong R.-G., Shu B., Mi Z.-F.",Renewable and Sustainable Energy Reviews,10.1016/j.rser.2017.05.027,Biogas project; Biomass energy; Circular economy; Cost-benefit analysis; Renewable energy policy; Sustainability,2017,2030,NA,2-s2.0-85019022865,WOS:000407185900056,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
CHN,China,Asia,A systematic simulating assessment within reach greenhouse gas target by reducing PM2.5 concentrations in China,"Li W., Lu C., Ding Y.",Polish Journal of Environmental Studies,10.15244/pjoes/66852,China; Computable general equilibrium; Fine particulate matter; Scenario analysis; System dynamics,2017,2030,CGE,2-s2.0-85043575959,WOS:000399967900022,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHN,China,Asia,Achieving China's INDC: Biomass development and competition for land,"Hui, JX; Cai, WJ; Wang, C",8TH INTERNATIONAL CONFERENCE ON APPLIED ENERGY (ICAE2016),10.1016/j.egypro.2017.03.808,INDC; biomass; land-use; field residure,2017,2050,NA,NA,WOS:000404967903092,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CHN,China,Asia,Achieving carbon emissions peak in China by 2030: The key options and economic impacts,"Dai H., Masui T.",Post-2020 Climate Action: Global and Asian Perspectives,10.1007/978-981-10-3869-3-6,Carbon emissions peak; China; Computable general equilibrium model; INDC (intended nationally determined contributions),2017,2030,CGE,2-s2.0-85038231552,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHN,China,Asia,Aligning domestic policies with international coordination in a post-Paris global climate regime: A case for China,"Li J., Hamdi-Cherif M., Cassen C.",Technological Forecasting and Social Change,10.1016/j.techfore.2017.06.027,China; Global climate policy; International and domestic coordination; National complementary policies; Paris Agreement; Second-best modelling,2017,2050,CGE,2-s2.0-85027465409,WOS:000414109500022,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHN,China,Asia,An Empirical Study on China's Energy Supply-and-Demand Model Considering Carbon Emission Peak Constraints in 2030,Chen J.,Engineering,10.1016/J.ENG.2017.04.019,Carbon emission; Energy supply and demand; Model; Peak; Scenario,2017,2030,NA,2-s2.0-85036634155,WOS:000414165100014,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHN,China,Asia,An Optimization Model for China's Emission Reduction Resulting from the Shift to Wind Power,"Gao A., Sun M., Shen C., Li Y.",Energy Procedia,10.1016/j.egypro.2017.03.319,Dynamic programming; Emission reduction; Learning curve; Technology diffusion model; Wind power,2017,2030,NA,2-s2.0-85020751347,WOS:000404967900048,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHN,China,Asia,An analysis of the costs of energy saving and CO2 mitigation in rural households in China,"Zhang W., Stern D., Liu X., Cai W., Wang C.",Journal of Cleaner Production,10.1016/j.jclepro.2017.07.172,China; Cost estimation; Energy saving technology; Rural households,2017,2035,NA,2-s2.0-85028027700,WOS:000411544400066,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,An estimation of the effect of carbon pricing for CO2 mitigation in China's cement industry,"Liu X., Fan Y., Wang C.",Applied Energy,10.1016/j.apenergy.2016.10.115,Carbon pricing; Cement industry; China; CO2 mitigation; Marginal abatement cost,2017,2030,NA,2-s2.0-84998774691,WOS:000390494600055,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
CHN,China,Asia,An integrated source-grid-load planning model at the macro level: Case study for China's power sector,"Zhang, N; Hu, ZG; Shen, B; He, G; Zheng, YA",ENERGY,10.1016/j.energy.2017.03.026,Integrated source-grid-load planning; Generation mix; Interregional transmission; Energy efficiency; Demand response; China's power sector,2017,2030,NA,NA,WOS:000404305900020,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHN,China,Asia,An optimal production planning model of coal-fired power industry in China: Considering the process of closing down inefficient units and developing CCS technologies,"Tang B.-J., Li R., Li X.-Y., Chen H.",Applied Energy,10.1016/j.apenergy.2017.08.215,CCS technology; Closing down policy; Coal-fired power industry; Contingency payments; Scenario analysis,2017,2030,NA,2-s2.0-85028619442,WOS:000415768400046,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,Analyses of CO2 mitigation roadmap in China's power industry: Using a Backcasting Model,"Wen Z.-G., Di J.-H., Yu X.-W., Zhang X.",Applied Energy,10.1016/j.apenergy.2017.08.026,Backcasting Model; CO2 mitigation roadmap; NPV principle; Power industry,2017,2030,NA,2-s2.0-85029803965,WOS:000414817100049,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
CHN,China,Asia,Analysis of China's Primary Energy Structure and Emissions Reduction Targets by 2030 Based on Multiobjective Programming,"Ren F., Xia L.",Mathematical Problems in Engineering,10.1155/2017/1532539,NA,2017,2030,NA,2-s2.0-85017141053,WOS:000398473900001,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
CHN,China,Asia,Analysis of China's wind power development driven by incentive policies based on system dynamics model,"Li, Y; Ren, YX",JOURNAL OF RENEWABLE AND SUSTAINABLE ENERGY,10.1063/1.4983186,NA,2017,2032,NA,NA,WOS:000404600700005,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHN,China,Asia,Analysis of Future Vehicle Fuel Demand and Direct CO2 Emissions in China,"Peng T., Yuan Z., Ou X., Wang G.",Energy Procedia,10.1016/j.egypro.2017.12.223,China; CO2 emissions; fuel demand; Vehicle stock,2017,2050,NA,2-s2.0-85041548965,WOS:000452901602141,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,Assessing CO2 emissions in China's commercial sector: Determinants and reduction strategies,"Wang A., Lin B.",Journal of Cleaner Production,10.1016/j.jclepro.2017.07.058,China's commercial sector; CO2 emission; IPAT; STIRPAT model,2017,2030,NA,2-s2.0-85027522837,WOS:000409290700137,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,Assessment of China's mitigation targets in an effort-sharing framework,"Pan X., Teng F.",Sustainability (Switzerland),10.3390/su9071104,China; Climate change; CO2 emissions; Effort-sharing; NDC,2017,2070,NA,2-s2.0-85021651673,WOS:000406709500033,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHN,China,Asia,Atmospheric emissions of typical toxic heavy metals from open burning of municipal solid waste in China,"Wang Y., Cheng K., Wu W., Tian H., Yi P., Zhi G., Fan J., Liu S.",Atmospheric Environment,10.1016/j.atmosenv.2016.12.017,Control proposals; Emission characteristics; MSW; Open burning; Toxic heavy metals,2017,2030,NA,2-s2.0-85003875528,WOS:000394400000002,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CHN,China,Asia,CO2 emissions from the industrialization and urbanization processes in the manufacturing center Tianjin in China,"Zhu Z., Liu Y., Tian X., Wang Y., Zhang Y.",Journal of Cleaner Production,10.1016/j.jclepro.2017.08.245,China; CO2 emissions; Industrialization; Input-output analysis; Urbanization,2017,2030,Input-Output,2-s2.0-85030685375,WOS:000414817700079,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,CO2 emissions in China's building sector through 2050: A scenario analysis based on a bottom-up model,"Yang, T; Pan, YQ; Yang, YQ; Lin, MS; Qin, BY; Xu, P; Huang, ZZ",ENERGY,10.1016/j.energy.2017.03.098,Carbon emissions; Building sector; China; Scenario analysis; Energy policy,2017,2050,NA,NA,WOS:000403987700018,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,Carbon policy in a high-growth economy: The case of China,"Bretschger L., Zhang L.",Resource and Energy Economics,10.1016/j.reseneeco.2016.10.001,Carbon policy; China; Endogenous growth; Induced innovation; Urbanization,2017,2030,NA,2-s2.0-84994013357,WOS:000393010300001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,"Carbon tax, emission trading, or the mixed policy: which is the most effective strategy for climate change mitigation in China?","Li W., Jia Z.",Mitigation and Adaptation Strategies for Global Change,10.1007/s11027-016-9710-3,Carbon tax; Climate change; Computable general equilibrium (CGE) model; Emission trading scheme (ETS); Energy consumption; Mitigation strategy; Mixed policy,2017,2030,CGE,2-s2.0-84961131910,WOS:000405606900007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
CHN,China,Asia,China's carbon emissions peak path-based on China TIMES model,"Ma D., Chen W.",Qinghua Daxue Xuebao/Journal of Tsinghua University,10.16511/j.cnki.qhdxxb.2017.25.047,Carbon emission peak; Climate change; Emission reduction potential decomposition; Energy system model,2017,2050,TIMES,2-s2.0-85041106648,NA,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHN,China,Asia,China's energy system transformation towards the 2 °C goal: Implications of different effort-sharing principles,"Xunzhang P., Wenying C., Clarke L.E., Lining W., Guannan L.",Energy Policy,10.1016/j.enpol.2017.01.020,Carbon budgets; China; Effort-sharing; Energy system transformation; INDC,2017,2100,NA,2-s2.0-85009736198,WOS:000397356000010,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,"China's traction battery technology roadmap: Targets, impacts and concerns","Hao H., Cheng X., Liu Z., Zhao F.",Energy Policy,10.1016/j.enpol.2017.06.011,China; Electric vehicle; Technology roadmap; Traction battery,2017,2030,NA,2-s2.0-85020385221,WOS:000406725800035,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
CHN,China,Asia,China’s local environmental politics,Kostka G.,Routledge Handbook of Environmental Policy in China,10.4324/9781315736761,NA,2017,2030,NA,2-s2.0-85027811883,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,China’s role in reducing carbon emissions: The stabilisation of energy consumption and the deployment of renewable energy,Toke D.,China's Role in Reducing Carbon Emissions: The Stabilisation of Energy Consumption and the Deployment of Renewable Energy,10.4324/9781315276946,NA,2017,2050,NA,2-s2.0-85021967867,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,Connecting water and energy: Assessing the impacts of carbon and water constraints on China's power sector,"Huang W., Ma D., Chen W.",Applied Energy,10.1016/j.apenergy.2015.12.048,China TIMES model; INDC; Power sector; Water,2017,2050,TIMES,2-s2.0-85004168846,WOS:000390494800052,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
CHN,China,Asia,"Convergence of carbon intensity in the Yangtze River Delta, China","Li J., Huang X., Yang H., Chuai X., Wu C.",Habitat International,10.1016/j.habitatint.2016.12.012,Carbon intensity; China; Convergence; Spatial character; Spatial panel data models; Yangtze River Delta,2017,2030,NA,2-s2.0-85007373257,WOS:000392691300006,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,"Current and future emissions of primary pollutants from coal-fired power plants in Shaanxi, China","Xu Y., Hu J., Ying Q., Hao H., Wang D., Zhang H.",Science of the Total Environment,10.1016/j.scitotenv.2017.03.267,Coal-fired power plant; Decontamination efficiency; Emission inventory; Reduction; Shaanxi,2017,2030,NA,2-s2.0-85017151128,WOS:000401556800049,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,Decomposition analysis of factors affecting carbon dioxide emissions across provinces in China,"Li A., Zhang A., Zhou Y., Yao X.",Journal of Cleaner Production,10.1016/j.jclepro.2016.09.206,Carbon dioxide emissions reductions; Carbon emission performance; Energy efficiency improvements; Index decomposition analysis (IDA); Production-theoretical decomposition analysis (PDA); Technology gaps,2017,2030,NA,2-s2.0-84994525162,WOS:000389090300131,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,Decomposition and scenario analysis of CO2 emissions in China’s power industry: based on LMDI method,"Zhao Y., Li H., Zhang Z., Zhang Y., Wang S., Liu Y.",Natural Hazards,10.1007/s11069-016-2710-5,CO2 emissions; Driving factors; Emission reduction potential; LMDI method; Power industry,2017,2030,NA,2-s2.0-85006371829,WOS:000394328400008,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,Dynamic integrated resource strategic planning model: A case study of china's power sector planning into 2050,"Xu Y., Yuan J., Xu H.",Sustainability (Switzerland),10.3390/su9071177,China; DIRSP model; Policy portfolios; Power planning scenario,2017,2050,NA,2-s2.0-85022101801,WOS:000406709500106,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHN,China,Asia,Economic evaluation of health benefits of mercury emission controls for China and the neighboring countries in East Asia,"Zhang, W; Zhen, GC; Chen, L; Wang, HH; Li, Y; Ye, XJ; Tong, YD; Zhu, Y; Wang, XJ",ENERGY POLICY,10.1016/j.enpol.2017.04.010,Mercury; Policy analysis; Economic benefits; Health impact; Scenario analysis,2017,2030,NA,NA,WOS:000402343600054,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,Effectiveness of waste-to-energy approaches in China: from the perspective of greenhouse gas emission reduction,"Wang Y., Yan Y., Chen G., Zuo J., Yan B., Yin P.",Journal of Cleaner Production,10.1016/j.jclepro.2015.09.060,Avoided emissions; Greenhouse gas; Municipal solid waste; Waste-to-energy,2017,2060,NA,2-s2.0-84945929267,WOS:000408788100009,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CHN,China,Asia,"Emissions inventory and scenario analyses of air pollutants in Guangdong Province, China","Chen H., Meng J.",Frontiers of Earth Science,10.1007/s11707-016-0551-x,emissions inventory; Guangdong Province; NOx; PM2.5; scenario analyses; SO2,2017,2030,NA,2-s2.0-84961572824,WOS:000394181200005,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,"Energy Consumption and GHG Emission for Regional Aluminum Industry: A Case Study of Henan Province, China","Liu S., Wang S., Wang K., Yue H., Liu L., Yang S., Zhang P., Zhang R.",Energy Procedia,10.1016/j.egypro.2017.03.777,Conservation Supply Curve; energy consumption; energy-efficiency; GHG emission potential,2017,2030,NA,2-s2.0-85020715946,WOS:000404967903074,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,Energy efficiency to mitigate carbon emissions: strategies of China and the USA,"Yang M., Yu X.",Mitigation and Adaptation Strategies for Global Change,10.1007/s11027-015-9657-9,Drivers of carbon emissions; Emission declines in the USA; Emission peaks in China,2017,2030,NA,2-s2.0-84929121385,WOS:000393036700001,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHN,China,Asia,Energy-related GHG emissions of the textile industry in China,"Huang B., Zhao J., Geng Y., Tian Y., Jiang P.","Resources, Conservation and Recycling",10.1016/j.resconrec.2016.06.013,Energy saving; Greenhouse gas; Scenario analysis; Textile industry,2017,2030,NA,2-s2.0-85027921813,WOS:000393243400008,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,Establishing a framework to evaluate the effect of energy countermeasures tackling climate change and air pollution: The example of China,"Yuan J., Ou X., Wang G.",Sustainability (Switzerland),10.3390/su9091555,Air pollution; China; Climate change; Collaborative governance; Energy countermeasure; Sustainable development,2017,2030,NA,2-s2.0-85029180102,WOS:000411621200062,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,Estimating energy conservation potential in China's energy intensive industries with rebound effect,"Lin, BQ; Tan, RP",JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2017.04.100,China's energy intensive industry; Cointegration method; Energy rebound effect; Latent variable approach; Energy conservation potential,2017,2030,NA,NA,WOS:000403028500086,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,"Estimation of greenhouse gas emissions from the EU, US, China, and India up to 2060 in comparison with their pledges under the Paris Agreement","Liu Y., Wang F., Zheng J.",Sustainability (Switzerland),10.3390/su9091587,Energy structure; GHG emission; INDCs; Low-carbon planning,2017,2060,NA,2-s2.0-85029022713,WOS:000411621200091,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
CHN,China,Asia,Evaluation of co-benefits on atmospheric mercury emission control for coal combustion in China and future projection,"Hui M., Zhang L., Wang S., Cai S., Zhao B.",Huanjing Kexue Xuebao/Acta Scientiae Circumstantiae,10.13671/j.hjkxxb.2016.0253,Atmospheric mercury emission control; Coal combustion; Minamata Convention on Mercury; “Ten Measures”,2017,2030,NA,2-s2.0-85016513407,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,"Evaluation of integrated air pollution and climate change policies: Case study in the thermal power sector in Chongqing City, China","Zhou Q., Yabar H., Mizunoya T., Higano Y.",Sustainability (Switzerland),10.3390/su9101741,Air pollution; Carbon tax; Environmental regulation; GHG emissions; Subsidy; Technology innovation,2017,2025,Input-Output,2-s2.0-85030151926,WOS:000414896200072,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,Evaluation on the Energy Consumption and Thermal Performance in Different Residential Building Types during Mid-season in Hot-summer and Cold-winter Zone in China,"Liu H., Kojima S.",Procedia Engineering,10.1016/j.proeng.2017.04.187,Evaluation of energy and thermal performance; Hot-summer and cold-winter; PMV; Residential building type; Thermal comfort,2017,2030,NA,2-s2.0-85020514608,WOS:000404873600029,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,"Explicit cost-risk tradeoff for renewable portfolio standard constrained regional power system expansion: A case study of Guangdong Province, China","Ji L., Huang G.-H., Xie Y.-L., Niu D.-X., Song Y.-H.",Energy,10.1016/j.energy.2017.05.017,Generation expansion planning; Interval two-stage programming; Renewable portfolio standards; Risk explicit; Risk preference,2017,2025,NA,2-s2.0-85019124163,WOS:000403996700013,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
CHN,China,Asia,Exploring impact of carbon tax on China's CO2 reductions and provincial disparities,"Dong H., Dai H., Geng Y., Fujita T., Liu Z., Xie Y., Wu R., Fujii M., Masui T., Tang L.",Renewable and Sustainable Energy Reviews,10.1016/j.rser.2017.04.044,Carbon reduction; Carbon tax; CGE model; Economic loss; Provincial disparity,2017,2030,NA,2-s2.0-85018744545,WOS:000404704500046,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHN,China,Asia,Exploring linkages among China's 2030 climate targets,"Wang X., Zhang S.",Climate Policy,10.1080/14693062.2015.1124752,2030 emission peak; China; non-fossil fuel target,2017,2030,NA,2-s2.0-84954159485,WOS:000399488900005,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
CHN,China,Asia,Future carbon emissions trends under carbon and sulfur taxation governance in China,"Huang R., Liu C.X., Wang Z.",Shengtai Xuebao/ Acta Ecologica Sinica,10.5846/stxb201602010232,NA,2017,2100,NA,2-s2.0-85021334090,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHN,China,Asia,Global pattern analysis of natural gas and the development strategy in China,"Ye Z.-H., Wang A.-J., Yan Q., Wang G.-S., Zhou F.-Y.",Acta Geoscientica Sinica,10.3975/cagsb.2017.01.04,Consumption; Natural gas; Pattern; Strategy; Supply and demand,2017,2040,NA,2-s2.0-85016230900,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,Greening cement in China: A cost-effective roadmap,"Liu X., Yuan Z., Xu Y., Jiang S.",Applied Energy,10.1016/j.apenergy.2016.12.057,Air pollution; Cement; Cost-effectiveness analysis; Energy conservation; Multi-objective optimization; Technology promotion,2017,2030,NA,2-s2.0-85007137329,WOS:000393346800019,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,How Shale Gas will Shape China's Future? an Evaluation Based on Dynamic Energy-CGE Model,"Zhang S., Wang C., Cai W.",Energy Procedia,10.1016/j.egypro.2017.03.769,dynamic CGE model; economy; low carbon development; Shale Gas,2017,2030,NA,2-s2.0-85020744120,WOS:000404967903068,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,How to achieve the 2030 CO2 emission-reduction targets for China's industrial sector: Retrospective decomposition and prospective trajectories,"Zhang X., Zhao X., Jiang Z., Shao S.",Global Environmental Change,10.1016/j.gloenvcha.2017.03.003,Emission-reduction target; Industrial sector; Monte Carlo simulation; R&D; Scenario analysis,2017,2035,NA,2-s2.0-85016558955,WOS:000405250800008,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
CHN,China,Asia,"Hydrological responses to climatic changes in the Yellow River basin, China: Climatic elasticity and streamflow prediction","Zhang, Q; Liu, JY; Singh, VP; Shi, PJ; Sun, P",JOURNAL OF HYDROLOGY,10.1016/j.jhydrol.2017.09.040,Budyko framework; GCMs; Climatic scenarios; Streamflow prediction; Uncertainty,2017,2099,NA,NA,WOS:000415769600047,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CHN,China,Asia,INDC and low-carbon technology deployment scenarios: China,"Zhu Y., Liu J.",Globalization of Low-Carbon Technologies: The Impact of the Paris Agreement,10.1007/978-981-10-4901-9_2,NA,2017,2027,NA,2-s2.0-85043674932,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
CHN,China,Asia,"Impact of climate change on heat-related mortality in Jiangsu Province, China","Chen K., Horton R.M., Bader D.A., Lesk C., Jiang L., Jones B., Zhou L., Chen X., Bi J., Kinney P.L.",Environmental Pollution,10.1016/j.envpol.2017.02.011,Climate change; Heat; Mortality; Projection,2017,2065,NA,2-s2.0-85013498043,WOS:000399261400030,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,Impacts of climate change on agricultural water resources and adaptation on the North China Plain,"Mo, XG; Hu, S; Lin, ZH; Liu, SX; Xia, J",ADVANCES IN CLIMATE CHANGE RESEARCH,10.1016/j.accre.2017.05.007,Climate change; Water resources; Agriculture; Adaptation measures,2017,2050,NA,NA,WOS:000413286200004,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
